date,team_a,team_b,elo_diff,elo_a,elo_b,form_win_a,form_draw_a,form_gf_a,form_ga_a,form_win_b,form_draw_b,form_gf_b,form_ga_b,h2h_win_rate,h2h_draw_rate,h2h_games,stage_importance,neutral,outcome
2000-03-04,Honduras,Nicaragua,0.0,1500.0,1500.0,0.45,0.22,1.2,1.3,0.45,0.22,1.2,1.3,0.5,0.2,0,1,0,2
2000-03-04,Trinidad and Tobago,Curaçao,0.0,1500.0,1500.0,0.45,0.22,1.2,1.3,0.45,0.22,1.2,1.3,0.5,0.2,0,1,0,2
2000-03-05,El Salvador,Belize,0.0,1500.0,1500.0,0.45,0.22,1.2,1.3,0.45,0.22,1.2,1.3,0.5,0.2,0,1,0,2
2000-03-05,Saint Lucia,Suriname,0.0,1500.0,1500.0,0.45,0.22,1.2,1.3,0.45,0.22,1.2,1.3,0.5,0.2,0,1,0,2
2000-03-05,Dominican Republic,Montserrat,0.0,1500.0,1500.0,0.45,0.22,1.2,1.3,0.45,0.22,1.2,1.3,0.5,0.2,0,1,0,2
2000-03-05,Saint Vincent and the Grenadines,United States Virgin Islands,0.0,1500.0,1500.0,0.45,0.22,1.2,1.3,0.45,0.22,1.2,1.3,0.5,0.2,0,1,0,2
2000-03-05,British Virgin Islands,Bermuda,0.0,1500.0,1500.0,0.45,0.22,1.2,1.3,0.45,0.22,1.2,1.3,0.5,0.2,0,1,0,0
2000-03-05,Barbados,Grenada,0.0,1500.0,1500.0,0.45,0.22,1.2,1.3,0.45,0.22,1.2,1.3,0.5,0.2,0,1,0,1
2000-03-05,Anguilla,Bahamas,0.0,1500.0,1500.0,0.45,0.22,1.2,1.3,0.45,0.22,1.2,1.3,0.5,0.2,0,1,0,0
2000-03-05,Cuba,Cayman Islands,0.0,1500.0,1500.0,0.45,0.22,1.2,1.3,0.45,0.22,1.2,1.3,0.5,0.2,0,1,0,2
2000-03-11,Aruba,Puerto Rico,0.0,1500.0,1500.0,0.45,0.22,1.2,1.3,0.45,0.22,1.2,1.3,0.5,0.2,0,1,0,2
2000-03-11,Haiti,Dominica,0.0,1500.0,1500.0,0.45,0.22,1.2,1.3,0.45,0.22,1.2,1.3,0.5,0.2,0,1,0,2
2000-03-18,Curaçao,Trinidad and Tobago,-32.0,1484.0,1516.0,0.0,0.0,0.0,5.0,1.0,0.0,5.0,0.0,0.0,0.0,1,1,0,1
2000-03-18,Grenada,Barbados,0.0,1500.0,1500.0,0.0,1.0,2.0,2.0,0.0,1.0,2.0,2.0,0.0,1.0,1,1,0,0
2000-03-18,Puerto Rico,Aruba,-32.0,1484.0,1516.0,0.0,0.0,2.0,4.0,1.0,0.0,4.0,2.0,0.0,0.0,1,1,0,1
2000-03-18,Saint Kitts and Nevis,Turks and Caicos Islands,0.0,1500.0,1500.0,0.45,0.22,1.2,1.3,0.45,0.22,1.2,1.3,0.5,0.2,0,1,0,2
2000-03-19,United States Virgin Islands,Saint Vincent and the Grenadines,-32.0,1484.0,1516.0,0.0,0.0,0.0,9.0,1.0,0.0,9.0,0.0,0.0,0.0,1,1,0,0
2000-03-19,Suriname,Saint Lucia,-32.0,1484.0,1516.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1,1,0,2
2000-03-19,Nicaragua,Panama,-16.0,1484.0,1500.0,0.0,0.0,0.0,3.0,0.45,0.22,1.2,1.3,0.5,0.2,0,1,0,0
2000-03-19,Montserrat,Dominican Republic,-32.0,1484.0,1516.0,0.0,0.0,0.0,3.0,1.0,0.0,3.0,0.0,0.0,0.0,1,1,1,0
2000-03-19,Dominica,Haiti,-32.0,1484.0,1516.0,0.0,0.0,0.0,4.0,1.0,0.0,4.0,0.0,0.0,0.0,1,1,0,0
2000-03-19,Bermuda,British Virgin Islands,32.0,1516.0,1484.0,1.0,0.0,5.0,1.0,0.0,0.0,1.0,5.0,1.0,0.0,1,1,0,2
2000-03-19,Belize,Guatemala,-16.0,1484.0,1500.0,0.0,0.0,0.0,5.0,0.45,0.22,1.2,1.3,0.5,0.2,0,1,1,0
2000-03-19,Bahamas,Anguilla,32.0,1516.0,1484.0,1.0,0.0,3.0,1.0,0.0,0.0,1.0,3.0,1.0,0.0,1,1,0,2
2000-03-19,Cayman Islands,Cuba,-32.0,1484.0,1516.0,0.0,0.0,0.0,4.0,1.0,0.0,4.0,0.0,0.0,0.0,1,1,0,1
2000-03-21,Saint Kitts and Nevis,Turks and Caicos Islands,32.0,1516.0,1484.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,1,1,0,2
2000-03-28,Colombia,Brazil,0.0,1500.0,1500.0,0.45,0.22,1.2,1.3,0.45,0.22,1.2,1.3,0.5,0.2,0,1,0,1
2000-03-29,Uruguay,Bolivia,0.0,1500.0,1500.0,0.45,0.22,1.2,1.3,0.45,0.22,1.2,1.3,0.5,0.2,0,1,0,2
2000-03-29,Peru,Paraguay,0.0,1500.0,1500.0,0.45,0.22,1.2,1.3,0.45,0.22,1.2,1.3,0.5,0.2,0,1,0,2
2000-03-29,Ecuador,Venezuela,0.0,1500.0,1500.0,0.45,0.22,1.2,1.3,0.45,0.22,1.2,1.3,0.5,0.2,0,1,0,2
2000-03-29,Argentina,Chile,0.0,1500.0,1500.0,0.45,0.22,1.2,1.3,0.45,0.22,1.2,1.3,0.5,0.2,0,1,0,2
2000-04-01,Aruba,Barbados,-1.4695015289755702,1514.5304984710244,1516.0,0.5,0.5,3.0,2.0,0.5,0.5,2.5,2.0,0.5,0.2,0,1,0,0
2000-04-01,Haiti,Bahamas,0.0,1530.5304984710244,1530.5304984710244,1.0,0.0,3.5,0.5,1.0,0.0,2.5,1.0,0.5,0.2,0,1,0,2
2000-04-02,Panama,Honduras,-0.7363067935220897,1515.263693206478,1516.0,1.0,0.0,2.0,0.0,1.0,0.0,3.0,0.0,0.5,0.2,0,1,0,2
2000-04-02,Trinidad and Tobago,Dominican Republic,-16.0,1514.5304984710244,1530.5304984710244,0.5,0.5,3.0,0.5,1.0,0.0,3.0,0.5,0.5,0.2,0,1,0,2
2000-04-02,Guatemala,El Salvador,-0.7363067935220897,1515.263693206478,1516.0,1.0,0.0,2.0,1.0,1.0,0.0,5.0,0.0,0.5,0.2,0,1,0,0
2000-04-02,Cuba,Suriname,13.06099694204886,1514.5304984710244,1501.4695015289756,0.5,0.5,2.0,0.0,0.5,0.0,0.5,0.5,0.5,0.2,0,1,0,2
2000-04-07,Mauritania,Tunisia,0.0,1500.0,1500.0,0.45,0.22,1.2,1.3,0.45,0.22,1.2,1.3,0.5,0.2,0,1,0,0
2000-04-07,Djibouti,DR Congo,0.0,1500.0,1500.0,0.45,0.22,1.2,1.3,0.45,0.22,1.2,1.3,0.5,0.2,0,1,0,1
2000-04-08,Uganda,Guinea,0.0,1500.0,1500.0,0.45,0.22,1.2,1.3,0.45,0.22,1.2,1.3,0.5,0.2,0,1,0,1
